image,psnr,ssim
img_001_SRF_4.png,15.243245363235474,0.7293936014175415
img_002_SRF_4.png,17.570793628692627,0.9076628088951111
img_003_SRF_4.png,16.915342807769775,0.8518441319465637
img_004_SRF_4.png,19.036396741867065,0.7488691806793213
img_005_SRF_4.png,17.131075859069824,0.8211575150489807
img_006_SRF_4.png,20.17225742340088,0.9257006049156189
img_007_SRF_4.png,15.969007015228271,0.5292771458625793
img_008_SRF_4.png,16.37328028678894,0.6083677411079407
img_009_SRF_4.png,16.171984672546387,0.681160569190979
img_010_SRF_4.png,18.994508981704712,0.7039463520050049
img_011_SRF_4.png,12.329270839691162,0.6438283324241638
img_012_SRF_4.png,17.186715602874756,0.6766486763954163
img_013_SRF_4.png,18.456326723098755,0.7655823230743408
img_014_SRF_4.png,17.837594747543335,0.7690246105194092
img_015_SRF_4.png,17.073287963867188,0.8122439980506897
img_016_SRF_4.png,12.449049949645996,0.4629606306552887
img_017_SRF_4.png,21.260743141174316,0.9294446110725403
img_018_SRF_4.png,20.599782466888428,0.9104146957397461
img_019_SRF_4.png,14.543322324752808,0.7455142140388489
img_020_SRF_4.png,15.704638957977295,0.8650477528572083
img_021_SRF_4.png,12.450613975524902,0.684576153755188
img_022_SRF_4.png,14.626070261001587,0.7450484037399292
img_023_SRF_4.png,17.621452808380127,0.7913116812705994
img_024_SRF_4.png,15.484734773635864,0.7653770446777344
img_025_SRF_4.png,14.010951519012451,0.756642758846283
img_026_SRF_4.png,16.760412454605103,0.7620540261268616
img_027_SRF_4.png,15.979340076446533,0.7675419449806213
img_028_SRF_4.png,19.554853439331055,0.7902525663375854
img_029_SRF_4.png,18.246212005615234,0.9609960317611694
img_030_SRF_4.png,12.908000946044922,0.6349552869796753
img_031_SRF_4.png,19.666048288345337,0.82724928855896
img_032_SRF_4.png,16.22717022895813,0.5702781081199646
img_033_SRF_4.png,16.17658257484436,0.5124131441116333
img_034_SRF_4.png,15.746885538101196,0.715896487236023
img_035_SRF_4.png,17.582558393478394,0.9004940390586853
img_036_SRF_4.png,15.842701196670532,0.6543692946434021
img_037_SRF_4.png,22.174832820892334,0.6203482747077942
img_038_SRF_4.png,17.856030464172363,0.8785291910171509
img_039_SRF_4.png,18.213980197906494,0.8090366125106812
img_040_SRF_4.png,15.519272089004517,0.6218287944793701
img_041_SRF_4.png,15.270546674728394,0.663043200969696
img_042_SRF_4.png,15.491330623626709,0.7807427644729614
img_043_SRF_4.png,16.662163734436035,0.7295451164245605
img_044_SRF_4.png,13.761476278305054,0.6061339974403381
img_045_SRF_4.png,18.480721712112427,0.8819497227668762
img_046_SRF_4.png,23.39749574661255,0.8832353353500366
img_047_SRF_4.png,14.174846410751343,0.6839736700057983
